<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150123;070000;63.5503000
USDRUB;60;20150123;080000;63.6380000
USDRUB;60;20150123;090000;63.6396000
USDRUB;60;20150123;100000;63.9456000
USDRUB;60;20150123;110000;63.1128000
USDRUB;60;20150123;120000;63.2886000
USDRUB;60;20150123;130000;63.6595000
USDRUB;60;20150123;140000;63.2890000
USDRUB;60;20150123;150000;63.3991000
USDRUB;60;20150123;160000;64.0229000
USDRUB;60;20150123;170000;64.0678000
USDRUB;60;20150123;180000;64.1613000
USDRUB;60;20150123;190000;64.4690000
USDRUB;60;20150123;200000;64.1933000
USDRUB;60;20150123;210000;64.1317000
USDRUB;60;20150123;220000;63.8456000
USDRUB;60;20150123;230000;63.6391000
USDRUB;60;20150124;000000;63.7438000
USDRUB;60;20150124;010000;63.8541000
USDRUB;60;20150124;020000;63.8691000
USDRUB;60;20150124;030000;63.8450000
USDRUB;60;20150124;040000;63.1250000
USDRUB;60;20150124;050000;63.9467000
USDRUB;60;20150124;060000;63.9467000
USDRUB;60;20150126;000000;63.8420000
USDRUB;60;20150126;010000;63.8608000
USDRUB;60;20150126;020000;63.8608000
USDRUB;60;20150126;030000;63.8608000
USDRUB;60;20150126;040000;64.1547000
USDRUB;60;20150126;050000;63.8420000
USDRUB;60;20150126;060000;63.6988000
USDRUB;60;20150126;070000;63.8420000
USDRUB;60;20150126;080000;64.5716000
USDRUB;60;20150126;090000;64.0467000
USDRUB;60;20150126;100000;64.1228000
USDRUB;60;20150126;110000;64.1889000
USDRUB;60;20150126;120000;64.1897000
USDRUB;60;20150126;130000;64.5045000
USDRUB;60;20150126;140000;65.7920000
USDRUB;60;20150126;150000;65.7357000
USDRUB;60;20150126;160000;65.4866000
USDRUB;60;20150126;170000;65.5368000
USDRUB;60;20150126;180000;65.7460000
USDRUB;60;20150126;190000;65.7015000
USDRUB;60;20150126;200000;65.6110000
USDRUB;60;20150126;210000;65.7420000
USDRUB;60;20150126;220000;66.1690000
USDRUB;60;20150126;230000;66.2541000
USDRUB;60;20150127;000000;66.0880000
USDRUB;60;20150127;010000;67.8841000
USDRUB;60;20150127;020000;68.0762000
USDRUB;60;20150127;030000;68.0762000
USDRUB;60;20150127;040000;68.0762000
USDRUB;60;20150127;050000;68.7020000
USDRUB;60;20150127;060000;67.0947000
USDRUB;60;20150127;070000;67.1116000
USDRUB;60;20150127;080000;67.1323000
USDRUB;60;20150127;090000;66.9887000
